stage,experiment,kernel,degree,C,gamma,class_weight,val_accuracy,val_macro_f1,test_accuracy,test_macro_f1,test_inference_ms_per_image,support_vectors,train_time_sec,note,test_macro_precision,test_macro_recall,test_weighted_f1,val_macro_precision,val_macro_recall,val_weighted_f1,val_inference_ms_per_image
Phase 1-New,Fixed SVM Baseline (M04),rbf,,10.0,scale,balanced,0.9672330097087378,0.9577360704863276,0.9623971797884842,0.9564362130119796,1.9318776733231922,,,Reference locked in R01/M04,0.9808169089337803,0.9438502725579115,0.9614518349557831,,,,
Phase 2-New,Phase 1-New Baseline Refit - RBF C10 scale balanced,rbf,,10.0,scale,balanced,0.9672330097087378,0.9577360704863276,,,,5331.0,7.033324700081721,Validation-only experiment,,,,0.964425553534719,0.9524378126961041,0.9660700475297648,3.213712014540469
Phase 2-New,TN1 - Linear Kernel,linear,,10.0,N/A,balanced,0.9672330097087378,0.9730035022662098,,,,4514.0,2.7435506000183523,Validation-only experiment,,,,0.9852882200430461,0.9651999645159731,0.967170726855738,1.5546694175833022
Phase 2-New,TN1 - RBF Kernel,rbf,,10.0,scale,balanced,0.9672330097087378,0.9577360704863276,,,,5331.0,6.254173600114882,Validation-only experiment,,,,0.964425553534719,0.9524378126961041,0.9660700475297648,2.7595172329349174
Phase 2-New,TN1 - Polynomial Degree 2,poly,2.0,10.0,scale,balanced,0.9672330097087378,0.9503041505479713,,,,5273.0,6.322624699911103,Validation-only experiment,,,,0.9665071185538346,0.938452813897812,0.9658493015674353,2.0530213589454522
Phase 2-New,TN1 - Polynomial Degree 3,poly,3.0,10.0,scale,balanced,0.9478155339805825,0.9342990906133734,,,,5172.0,14.281001700088382,Validation-only experiment,,,,0.9617124743606951,0.9141074939677621,0.9469472431104173,1.899207160340224
Phase 2-New,TN1 - Sigmoid Kernel,sigmoid,,10.0,scale,balanced,0.9405339805825242,0.9295550828469279,,,,3812.0,2.3464579998981208,Validation-only experiment,,,,0.9219716201138848,0.9460211260897116,0.9415016185783935,1.4690851941885588
Phase 2-New,TN2 - Grid Search rbf C=0.1 gamma=scale,rbf,,0.1,scale,balanced,0.8519417475728155,0.864496945986557,,,,6620.0,15.360760499956086,Validation-only experiment,,,,0.870831674339513,0.8841613682255655,0.8595715165223957,3.5049367720912237
Phase 2-New,TN2 - Grid Search rbf C=0.1 gamma=auto,rbf,,0.1,auto,balanced,0.41262135922330095,0.5747021946183382,,,,6941.0,21.486309400061145,Validation-only experiment,,,,0.7802945241811546,0.5213211383399617,0.4290446208041308,3.603949999884313
Phase 2-New,TN2 - Grid Search rbf C=0.1 gamma=0.0005,rbf,,0.1,0.0005,balanced,0.8470873786407767,0.856683943844229,,,,6632.0,13.295042099896818,Validation-only experiment,,,,0.8601716112846083,0.8814851678749467,0.8549976366103204,3.6372858010915117
Phase 2-New,TN2 - Grid Search rbf C=0.1 gamma=0.001,rbf,,0.1,0.001,balanced,0.7924757281553398,0.8358864243908131,,,,6684.0,16.659109100000933,Validation-only experiment,,,,0.876495725333014,0.8350874912208497,0.7984569593439882,3.4758208737170633
Phase 2-New,TN2 - Grid Search rbf C=0.1 gamma=0.005,rbf,,0.1,0.005,balanced,0.05218446601941747,0.0021104812388034063,,,,7035.0,22.583964799996465,Validation-only experiment,,,,0.0011103077876471804,0.02127659574468085,0.005176313815074858,3.6572296117563523
Phase 2-New,TN2 - Grid Search rbf C=0.1 gamma=0.01,rbf,,0.1,0.01,balanced,0.05218446601941747,0.0021104812388034063,,,,7035.0,22.734242599923164,Validation-only experiment,,,,0.0011103077876471804,0.02127659574468085,0.005176313815074858,3.647441019584398
Phase 2-New,TN2 - Grid Search rbf C=0.1 gamma=0.05,rbf,,0.1,0.05,balanced,0.05218446601941747,0.0021104812388034063,,,,7035.0,22.26508180005476,Validation-only experiment,,,,0.0011103077876471804,0.02127659574468085,0.005176313815074858,3.6411589803852284
Phase 2-New,TN2 - Grid Search rbf C=0.1 gamma=0.1,rbf,,0.1,0.1,balanced,0.05218446601941747,0.0021104812388034063,,,,7035.0,22.554411499993876,Validation-only experiment,,,,0.0011103077876471804,0.02127659574468085,0.005176313815074858,3.704843932177275
Phase 2-New,TN2 - Grid Search rbf C=1.0 gamma=scale,rbf,,1.0,scale,balanced,0.9538834951456311,0.9483708405609985,,,,5481.0,6.460195200052112,Validation-only experiment,,,,0.9531328132232534,0.9470181323409351,0.9531942844784499,2.811233980413888
Phase 2-New,TN2 - Grid Search rbf C=1.0 gamma=auto,rbf,,1.0,auto,balanced,0.9077669902912622,0.8753940893670883,,,,6227.0,16.21687170001678,Validation-only experiment,,,,0.944348555028518,0.8425559522228852,0.9083620871457874,3.4338033979066913
Phase 2-New,TN2 - Grid Search rbf C=1.0 gamma=0.0005,rbf,,1.0,0.0005,balanced,0.9502427184466019,0.9463788171589372,,,,5430.0,5.728055599844083,Validation-only experiment,,,,0.9515916785777516,0.9452419991309443,0.9496982095157466,2.826768810548865
Phase 2-New,TN2 - Grid Search rbf C=1.0 gamma=0.001,rbf,,1.0,0.001,balanced,0.9453883495145631,0.9375610633475021,,,,5718.0,9.264594600070268,Validation-only experiment,,,,0.9529308146274648,0.9278889717415625,0.9445318561030369,2.921990291283294
Phase 2-New,TN2 - Grid Search rbf C=1.0 gamma=0.005,rbf,,1.0,0.005,balanced,0.22451456310679613,0.2183414970241387,,,,6990.0,22.992455000057817,Validation-only experiment,,,,0.48751517474921735,0.1775307542007684,0.2555644897619078,3.637506796365821
Phase 2-New,TN2 - Grid Search rbf C=1.0 gamma=0.01,rbf,,1.0,0.01,balanced,0.04854368932038835,0.01297679635389006,,,,7034.0,22.790487800026312,Validation-only experiment,,,,0.0859156768045947,0.027481119285004577,0.022847903892109632,3.6260697816032916
Phase 2-New,TN2 - Grid Search rbf C=1.0 gamma=0.05,rbf,,1.0,0.05,balanced,0.03398058252427184,0.0013984616921386475,,,,7035.0,22.813085000030696,Validation-only experiment,,,,0.0007229911175376988,0.02127659574468085,0.0022334655180272574,3.68663422323682
Phase 2-New,TN2 - Grid Search rbf C=1.0 gamma=0.1,rbf,,1.0,0.1,balanced,0.03398058252427184,0.0013984616921386475,,,,7035.0,22.972804100019857,Validation-only experiment,,,,0.0007229911175376988,0.02127659574468085,0.0022334655180272574,3.6516856796049413
Phase 2-New,TN2 - Grid Search rbf C=5.0 gamma=scale,rbf,,5.0,scale,balanced,0.9672330097087378,0.9577360704863276,,,,5337.0,5.778691899962723,Validation-only experiment,,,,0.964425553534719,0.9524378126961041,0.9660700475297648,2.7181470873471785
Phase 2-New,TN2 - Grid Search rbf C=5.0 gamma=auto,rbf,,5.0,auto,balanced,0.9271844660194175,0.8863162666911112,,,,6193.0,16.02821909985505,Validation-only experiment,,,,0.9569897708827532,0.8484487789979803,0.924912692415105,3.1652066746988847
Phase 2-New,TN2 - Grid Search rbf C=5.0 gamma=0.0005,rbf,,5.0,0.0005,balanced,0.9684466019417476,0.9580609921927967,,,,5261.0,5.199518899898976,Validation-only experiment,,,,0.9645946179386873,0.9529003473862059,0.9672395882961534,2.7276406554026007
Phase 2-New,TN2 - Grid Search rbf C=5.0 gamma=0.001,rbf,,5.0,0.001,balanced,0.9587378640776699,0.9453465214700826,,,,5671.0,9.160162599990144,Validation-only experiment,,,,0.9637044579356044,0.932253900093135,0.9574663213886135,2.9356967232832054
Phase 2-New,TN2 - Grid Search rbf C=5.0 gamma=0.005,rbf,,5.0,0.005,balanced,0.35315533980582525,0.23959870099715422,,,,6981.0,21.870325699914247,Validation-only experiment,,,,0.5102227606164614,0.1925709969877216,0.32886689951378695,3.452146966100752
Phase 2-New,TN2 - Grid Search rbf C=5.0 gamma=0.01,rbf,,5.0,0.01,balanced,0.15655339805825244,0.030814278487156666,,,,7034.0,21.854237799998373,Validation-only experiment,,,,0.1304982225287844,0.036022103774185174,0.07716976850114245,3.718628762267277
Phase 2-New,TN2 - Grid Search rbf C=5.0 gamma=0.05,rbf,,5.0,0.05,balanced,0.12985436893203883,0.004890646068057682,,,,7035.0,30.733205399941653,Validation-only experiment,,,,0.002762858913447635,0.02127659574468085,0.029848372665366604,3.6584913834603956
Phase 2-New,TN2 - Grid Search rbf C=5.0 gamma=0.1,rbf,,5.0,0.1,balanced,0.12985436893203883,0.004890646068057682,,,,7035.0,23.85400060005486,Validation-only experiment,,,,0.002762858913447635,0.02127659574468085,0.029848372665366604,3.6419166262754357
Phase 2-New,TN2 - Grid Search rbf C=10.0 gamma=scale,rbf,,10.0,scale,balanced,0.9672330097087378,0.9577360704863276,,,,5331.0,5.800724499858916,Validation-only experiment,,,,0.964425553534719,0.9524378126961041,0.9660700475297648,2.7712311892932986
Phase 2-New,TN2 - Grid Search rbf C=10.0 gamma=auto,rbf,,10.0,auto,balanced,0.9271844660194175,0.8863162666911112,,,,6193.0,16.589876800077036,Validation-only experiment,,,,0.9569897708827532,0.8484487789979803,0.924912692415105,3.207595267014361
Phase 2-New,TN2 - Grid Search rbf C=10.0 gamma=0.0005,rbf,,10.0,0.0005,balanced,0.9672330097087378,0.9577360704863276,,,,5253.0,5.366368999937549,Validation-only experiment,,,,0.964425553534719,0.9524378126961041,0.9660700475297648,2.7581669903898303
Phase 2-New,TN2 - Grid Search rbf C=10.0 gamma=0.001,rbf,,10.0,0.001,balanced,0.9587378640776699,0.9453465214700826,,,,5676.0,8.983390599954873,Validation-only experiment,,,,0.9637044579356044,0.932253900093135,0.9574663213886135,2.945783009494935
Phase 2-New,TN2 - Grid Search rbf C=10.0 gamma=0.005,rbf,,10.0,0.005,balanced,0.35315533980582525,0.23959870099715422,,,,6981.0,24.283002199837938,Validation-only experiment,,,,0.5102227606164614,0.1925709969877216,0.32886689951378695,3.543702427193848
Phase 2-New,TN2 - Grid Search rbf C=10.0 gamma=0.01,rbf,,10.0,0.01,balanced,0.15655339805825244,0.030814278487156666,,,,7034.0,23.193796900101006,Validation-only experiment,,,,0.1304982225287844,0.036022103774185174,0.07716976850114245,3.5644695385996688
Phase 2-New,TN2 - Grid Search rbf C=10.0 gamma=0.05,rbf,,10.0,0.05,balanced,0.12985436893203883,0.004890646068057682,,,,7035.0,22.91491900011897,Validation-only experiment,,,,0.002762858913447635,0.02127659574468085,0.029848372665366604,3.5867757280922303
Phase 2-New,TN2 - Grid Search rbf C=10.0 gamma=0.1,rbf,,10.0,0.1,balanced,0.12985436893203883,0.004890646068057682,,,,7035.0,23.247164400061592,Validation-only experiment,,,,0.002762858913447635,0.02127659574468085,0.029848372665366604,3.6137391989982857
Phase 2-New,TN2 - Grid Search rbf C=25.0 gamma=scale,rbf,,25.0,scale,balanced,0.9672330097087378,0.9577360704863276,,,,5338.0,5.618583200033754,Validation-only experiment,,,,0.964425553534719,0.9524378126961041,0.9660700475297648,2.736607766811944
Phase 2-New,TN2 - Grid Search rbf C=25.0 gamma=auto,rbf,,25.0,auto,balanced,0.9271844660194175,0.8863162666911112,,,,6197.0,15.798752899980173,Validation-only experiment,,,,0.9569897708827532,0.8484487789979803,0.924912692415105,3.1393322815612246
Phase 2-New,TN2 - Grid Search rbf C=25.0 gamma=0.0005,rbf,,25.0,0.0005,balanced,0.9672330097087378,0.9577360704863276,,,,5259.0,5.0638971999287605,Validation-only experiment,,,,0.964425553534719,0.9524378126961041,0.9660700475297648,2.667928519443998
Phase 2-New,TN2 - Grid Search rbf C=25.0 gamma=0.001,rbf,,25.0,0.001,balanced,0.9587378640776699,0.9453465214700826,,,,5678.0,8.667133699869737,Validation-only experiment,,,,0.9637044579356044,0.932253900093135,0.9574663213886135,2.890924271817762
Phase 2-New,TN2 - Grid Search rbf C=25.0 gamma=0.005,rbf,,25.0,0.005,balanced,0.35315533980582525,0.23959870099715422,,,,6981.0,22.949630999937654,Validation-only experiment,,,,0.5102227606164614,0.1925709969877216,0.32886689951378695,3.5316230583985706
Phase 2-New,TN2 - Grid Search rbf C=25.0 gamma=0.01,rbf,,25.0,0.01,balanced,0.15655339805825244,0.030814278487156666,,,,7034.0,23.231122799916193,Validation-only experiment,,,,0.1304982225287844,0.036022103774185174,0.07716976850114245,3.568443446533158
Phase 2-New,TN2 - Grid Search rbf C=25.0 gamma=0.05,rbf,,25.0,0.05,balanced,0.12985436893203883,0.004890646068057682,,,,7035.0,23.229030199814588,Validation-only experiment,,,,0.002762858913447635,0.02127659574468085,0.029848372665366604,3.5429819175087425
Phase 2-New,TN2 - Grid Search rbf C=25.0 gamma=0.1,rbf,,25.0,0.1,balanced,0.12985436893203883,0.004890646068057682,,,,7035.0,23.160661899950355,Validation-only experiment,,,,0.002762858913447635,0.02127659574468085,0.029848372665366604,3.544816383368616
Phase 2-New,TN2 - Grid Search rbf C=50.0 gamma=scale,rbf,,50.0,scale,balanced,0.9672330097087378,0.9577360704863276,,,,5344.0,5.543056200025603,Validation-only experiment,,,,0.964425553534719,0.9524378126961041,0.9660700475297648,2.7064872573319714
Phase 2-New,TN2 - Grid Search rbf C=50.0 gamma=auto,rbf,,50.0,auto,balanced,0.9271844660194175,0.8863162666911112,,,,6197.0,15.48506350000389,Validation-only experiment,,,,0.9569897708827532,0.8484487789979803,0.924912692415105,3.112609829929956
Phase 2-New,TN2 - Grid Search rbf C=50.0 gamma=0.0005,rbf,,50.0,0.0005,balanced,0.9672330097087378,0.9577360704863276,,,,5260.0,5.069934499915689,Validation-only experiment,,,,0.964425553534719,0.9524378126961041,0.9660700475297648,2.65313495143805
Phase 2-New,TN2 - Grid Search rbf C=50.0 gamma=0.001,rbf,,50.0,0.001,balanced,0.9587378640776699,0.9453465214700826,,,,5676.0,12.88440790004097,Validation-only experiment,,,,0.9637044579356044,0.932253900093135,0.9574663213886135,2.928654490054576
Phase 2-New,TN2 - Grid Search rbf C=50.0 gamma=0.005,rbf,,50.0,0.005,balanced,0.35315533980582525,0.23959870099715422,,,,6981.0,23.398922000080347,Validation-only experiment,,,,0.5102227606164614,0.1925709969877216,0.32886689951378695,3.665951092205309
Phase 2-New,TN2 - Grid Search rbf C=50.0 gamma=0.01,rbf,,50.0,0.01,balanced,0.15655339805825244,0.030814278487156666,,,,7034.0,23.630461799912155,Validation-only experiment,,,,0.1304982225287844,0.036022103774185174,0.07716976850114245,3.7185173542170955
Phase 2-New,TN2 - Grid Search rbf C=50.0 gamma=0.05,rbf,,50.0,0.05,balanced,0.12985436893203883,0.004890646068057682,,,,7035.0,28.866138900164515,Validation-only experiment,,,,0.002762858913447635,0.02127659574468085,0.029848372665366604,3.6554910192826706
Phase 2-New,TN2 - Grid Search rbf C=50.0 gamma=0.1,rbf,,50.0,0.1,balanced,0.12985436893203883,0.004890646068057682,,,,7035.0,23.019669400062412,Validation-only experiment,,,,0.002762858913447635,0.02127659574468085,0.029848372665366604,3.5517849514116215
Phase 2-New,TN2 - Grid Search rbf C=100.0 gamma=scale,rbf,,100.0,scale,balanced,0.9672330097087378,0.9577360704863276,,,,5338.0,5.96139770001173,Validation-only experiment,,,,0.964425553534719,0.9524378126961041,0.9660700475297648,3.1287651701188346
Phase 2-New,TN2 - Grid Search rbf C=100.0 gamma=auto,rbf,,100.0,auto,balanced,0.9271844660194175,0.8863162666911112,,,,6197.0,17.314135699998587,Validation-only experiment,,,,0.9569897708827532,0.8484487789979803,0.924912692415105,3.292515776707854
Phase 2-New,TN2 - Grid Search rbf C=100.0 gamma=0.0005,rbf,,100.0,0.0005,balanced,0.9672330097087378,0.9577360704863276,,,,5259.0,5.557591600110754,Validation-only experiment,,,,0.964425553534719,0.9524378126961041,0.9660700475297648,2.8481819173569782
Phase 2-New,TN2 - Grid Search rbf C=100.0 gamma=0.001,rbf,,100.0,0.001,balanced,0.9587378640776699,0.9453465214700826,,,,5676.0,9.610275899991393,Validation-only experiment,,,,0.9637044579356044,0.932253900093135,0.9574663213886135,3.0417472086801616
Phase 2-New,TN2 - Grid Search rbf C=100.0 gamma=0.005,rbf,,100.0,0.005,balanced,0.35315533980582525,0.23959870099715422,,,,6981.0,27.188818200025707,Validation-only experiment,,,,0.5102227606164614,0.1925709969877216,0.32886689951378695,3.782309101808599
Phase 2-New,TN2 - Grid Search rbf C=100.0 gamma=0.01,rbf,,100.0,0.01,balanced,0.15655339805825244,0.030814278487156666,,,,7034.0,26.57768650003709,Validation-only experiment,,,,0.1304982225287844,0.036022103774185174,0.07716976850114245,3.793254004988042
Phase 2-New,TN2 - Grid Search rbf C=100.0 gamma=0.05,rbf,,100.0,0.05,balanced,0.12985436893203883,0.004890646068057682,,,,7035.0,25.113862399943173,Validation-only experiment,,,,0.002762858913447635,0.02127659574468085,0.029848372665366604,3.864036771825976
Phase 2-New,TN2 - Grid Search rbf C=100.0 gamma=0.1,rbf,,100.0,0.1,balanced,0.12985436893203883,0.004890646068057682,,,,7035.0,27.24456200003624,Validation-only experiment,,,,0.002762858913447635,0.02127659574468085,0.029848372665366604,3.763501820305941
Phase 2-New,TN2 - Grid Search rbf C=200.0 gamma=scale,rbf,,200.0,scale,balanced,0.9672330097087378,0.9577360704863276,,,,5338.0,6.219752500066534,Validation-only experiment,,,,0.964425553534719,0.9524378126961041,0.9660700475297648,3.040455825382717
Phase 2-New,TN2 - Grid Search rbf C=200.0 gamma=auto,rbf,,200.0,auto,balanced,0.9271844660194175,0.8863162666911112,,,,6197.0,17.333041100064293,Validation-only experiment,,,,0.9569897708827532,0.8484487789979803,0.924912692415105,3.266703033959945
Phase 2-New,TN2 - Grid Search rbf C=200.0 gamma=0.0005,rbf,,200.0,0.0005,balanced,0.9672330097087378,0.9577360704863276,,,,5259.0,5.22277870005928,Validation-only experiment,,,,0.964425553534719,0.9524378126961041,0.9660700475297648,2.6651898057661154
Phase 2-New,TN2 - Grid Search rbf C=200.0 gamma=0.001,rbf,,200.0,0.001,balanced,0.9587378640776699,0.9453465214700826,,,,5676.0,8.472598400199786,Validation-only experiment,,,,0.9637044579356044,0.932253900093135,0.9574663213886135,2.9451462377464055
Phase 2-New,TN2 - Grid Search rbf C=200.0 gamma=0.005,rbf,,200.0,0.005,balanced,0.35315533980582525,0.23959870099715422,,,,6981.0,23.68703670008108,Validation-only experiment,,,,0.5102227606164614,0.1925709969877216,0.32886689951378695,3.475660558516449
Phase 2-New,TN2 - Grid Search rbf C=200.0 gamma=0.01,rbf,,200.0,0.01,balanced,0.15655339805825244,0.030814278487156666,,,,7034.0,26.33843129989691,Validation-only experiment,,,,0.1304982225287844,0.036022103774185174,0.07716976850114245,3.577328640831978
Phase 2-New,TN2 - Grid Search rbf C=200.0 gamma=0.05,rbf,,200.0,0.05,balanced,0.12985436893203883,0.004890646068057682,,,,7035.0,23.615534499986097,Validation-only experiment,,,,0.002762858913447635,0.02127659574468085,0.029848372665366604,3.5711334952157787
Phase 2-New,TN2 - Grid Search rbf C=200.0 gamma=0.1,rbf,,200.0,0.1,balanced,0.12985436893203883,0.004890646068057682,,,,7035.0,23.224765099817887,Validation-only experiment,,,,0.002762858913447635,0.02127659574468085,0.029848372665366604,3.59880400497186
Phase 2-New,TN2 - Linear Tune C=0.1,linear,,0.1,N/A,balanced,0.9672330097087378,0.9730035022662098,,,,4514.0,2.4599625999107957,Validation-only experiment,,,,0.9852882200430461,0.9651999645159731,0.967170726855738,1.4888009709731034
Phase 2-New,TN2 - Linear Tune C=1.0,linear,,1.0,N/A,balanced,0.9672330097087378,0.9730035022662098,,,,4514.0,2.3799588000401855,Validation-only experiment,,,,0.9852882200430461,0.9651999645159731,0.967170726855738,1.4917185678128695
Phase 2-New,TN2 - Linear Tune C=5.0,linear,,5.0,N/A,balanced,0.9672330097087378,0.9730035022662098,,,,4514.0,2.3658553001005203,Validation-only experiment,,,,0.9852882200430461,0.9651999645159731,0.967170726855738,1.4406527913609537
Phase 2-New,TN2 - Linear Tune C=10.0,linear,,10.0,N/A,balanced,0.9672330097087378,0.9730035022662098,,,,4514.0,2.218418200034648,Validation-only experiment,,,,0.9852882200430461,0.9651999645159731,0.967170726855738,1.404532524406711
Phase 2-New,TN2 - Linear Tune C=25.0,linear,,25.0,N/A,balanced,0.9672330097087378,0.9730035022662098,,,,4514.0,2.2349155000410974,Validation-only experiment,,,,0.9852882200430461,0.9651999645159731,0.967170726855738,1.4067384709934116
Phase 2-New,TN2 - Linear Tune C=50.0,linear,,50.0,N/A,balanced,0.9672330097087378,0.9730035022662098,,,,4514.0,2.2569108000025153,Validation-only experiment,,,,0.9852882200430461,0.9651999645159731,0.967170726855738,1.452584466128384
Phase 2-New,TN2 - Linear Tune C=100.0,linear,,100.0,N/A,balanced,0.9672330097087378,0.9730035022662098,,,,4514.0,2.329887399915606,Validation-only experiment,,,,0.9852882200430461,0.9651999645159731,0.967170726855738,1.4292065535097844
Phase 2-New,TN2 - Linear Tune C=200.0,linear,,200.0,N/A,balanced,0.9672330097087378,0.9730035022662098,,,,4514.0,2.237514700042084,Validation-only experiment,,,,0.9852882200430461,0.9651999645159731,0.967170726855738,1.4042089807968225
Phase 2-New,TN3 - class_weight=None,linear,,0.1,N/A,None,0.9672330097087378,0.9730035022662098,,,,4514.0,2.393017099937424,Validation-only experiment,,,,0.9852882200430461,0.9651999645159731,0.967170726855738,1.4872121360736168
Phase 2-New,TN3 - class_weight=balanced,linear,,0.1,N/A,balanced,0.9672330097087378,0.9730035022662098,,,,4514.0,2.3678050998132676,Validation-only experiment,,,,0.9852882200430461,0.9651999645159731,0.967170726855738,1.4965366504326896
Phase 2-New,TN3 - class_weight=custom_dict,linear,,0.1,N/A,custom_dict,0.9672330097087378,0.9730035022662098,,,,4514.0,2.386483399895951,Validation-only experiment,,,,0.9852882200430461,0.9651999645159731,0.967170726855738,1.4326354368359249
Phase 2-New,Best Tuned SVM Final,linear,,0.1,N/A,None,0.9672330097087378,0.9730035022662098,0.9612220916568742,0.9629120857089248,1.5194648649701115,4514.0,,Final test evaluated once only after validation-based selection,0.9751468225483677,0.9561768657793877,0.9609361966020151,,,,
